subscription_id,user_id,plan,monthly_price,start_date,end_date,status
110,48,Basic,9.99,2023-10-29,2024-05-15,Canceled
111,49,Premium,19.99,2023-04-28,,Active
112,49,Standard,14.99,2023-10-25,2024-07-16,Canceled
113,50,Basic,9.99,2023-09-21,,Active
114,50,Basic,9.99,2024-03-19,,Active
115,50,Basic,9.99,2024-09-15,,Active
116,51,Basic,9.99,2023-04-20,,Active
117,51,Premium,19.99,2023-10-17,,Active
118,51,Premium,19.99,2024-04-14,2025-01-11,Canceled
119,52,Basic,9.99,2023-10-23,,Active
120,52,Premium,19.99,2024-04-20,,Active
121,52,Premium,19.99,2024-10-17,,Active
122,53,Premium,19.99,2023-04-08,,Active
123,53,Premium,19.99,2023-10-05,,Active
124,53,Premium,19.99,2024-04-02,2024-11-07,Canceled
125,54,Standard,14.99,2023-07-01,2024-04-03,Canceled
126,55,Premium,19.99,2023-12-11,,Active
127,55,Premium,19.99,2024-06-08,,Active
128,55,Premium,19.99,2024-12-05,,Active
129,56,Basic,9.99,2023-07-26,2024-02-06,Canceled
130,57,Premium,19.99,2023-04-09,,Active
131,57,Premium,19.99,2023-10-06,,Active
132,57,Premium,19.99,2024-04-03,2025-01-07,Canceled
133,58,Basic,9.99,2023-08-05,2024-01-25,Canceled
134,59,Standard,14.99,2023-02-08,,Active
135,59,Standard,14.99,2023-08-07,,Active
136,59,Standard,14.99,2024-02-03,,Active
137,59,Standard,14.99,2024-08-01,,Active
138,60,Basic,9.99,2023-01-26,,Active
139,60,Basic,9.99,2023-07-25,,Active
140,60,Basic,9.99,2024-01-21,,Active
141,60,Basic,9.99,2024-07-19,,Active
142,61,Premium,19.99,2023-05-02,,Active
143,61,Premium,19.99,2023-10-29,,Active
144,61,Premium,19.99,2024-04-26,,Active
145,61,Premium,19.99,2024-10-23,,Active
146,62,Standard,14.99,2023-04-20,2023-12-25,Canceled
147,63,Standard,14.99,2023-01-02,,Active
148,63,Standard,14.99,2023-07-01,,Active
149,63,Standard,14.99,2023-12-28,2024-08-14,Canceled
150,64,Basic,9.99,2023-08-05,,Active
151,64,Basic,9.99,2024-02-01,,Active
152,64,Basic,9.99,2024-07-30,2024-11-15,Canceled
153,65,Premium,19.99,2023-03-21,2023-08-14,Canceled
154,66,Basic,9.99,2023-10-24,,Active
155,66,Basic,9.99,2024-04-21,,Active
156,66,Basic,9.99,2024-10-18,2025-04-23,Canceled
157,67,Basic,9.99,2023-01-30,,Active
158,67,Premium,19.99,2023-07-29,,Active
159,67,Premium,19.99,2024-01-25,2024-12-17,Canceled
160,68,Premium,19.99,2023-09-29,,Active
161,68,Premium,19.99,2024-03-27,,Active
162,68,Premium,19.99,2024-09-23,,Active
163,69,Standard,14.99,2023-04-06,,Active
164,69,Standard,14.99,2023-10-03,,Active
165,69,Standard,14.99,2024-03-31,2024-08-15,Canceled
166,70,Basic,9.99,2023-07-26,,Active
167,70,Basic,9.99,2024-01-22,,Active
168,70,Basic,9.99,2024-07-20,2025-04-14,Canceled
169,71,Basic,9.99,2023-11-01,2024-05-16,Canceled
170,72,Premium,19.99,2023-12-03,,Active
171,72,Premium,19.99,2024-05-31,,Active
172,72,Premium,19.99,2024-11-27,2025-10-03,Canceled
173,73,Premium,19.99,2023-05-14,,Active
174,73,Premium,19.99,2023-11-10,2024-05-08,Canceled
175,74,Standard,14.99,2023-05-03,,Active
176,74,Standard,14.99,2023-10-30,2024-09-01,Canceled
177,75,Premium,19.99,2023-08-23,,Active
178,75,Premium,19.99,2024-02-19,,Active
179,75,Premium,19.99,2024-08-17,,Active
180,76,Basic,9.99,2023-08-23,2024-05-26,Canceled
181,77,Premium,19.99,2023-10-03,,Active
182,77,Basic,9.99,2024-03-31,2024-06-05,Canceled
183,78,Basic,9.99,2023-06-28,,Active
184,78,Basic,9.99,2023-12-25,,Active
185,78,Basic,9.99,2024-06-22,,Active
186,78,Basic,9.99,2024-12-19,,Active
187,79,Basic,9.99,2023-03-22,,Active
188,79,Basic,9.99,2023-09-18,,Active
189,79,Basic,9.99,2024-03-16,,Active
190,79,Basic,9.99,2024-09-12,2025-08-06,Canceled
191,80,Standard,14.99,2023-11-10,2024-03-20,Canceled
192,81,Premium,19.99,2023-06-03,,Active
193,81,Premium,19.99,2023-11-30,,Active
194,81,Premium,19.99,2024-05-28,,Active
195,81,Basic,9.99,2024-11-24,,Active
196,82,Standard,14.99,2023-03-01,,Active
197,82,Standard,14.99,2023-08-28,,Active
198,82,Standard,14.99,2024-02-24,,Active
199,82,Standard,14.99,2024-08-22,,Active
200,83,Standard,14.99,2023-05-20,,Active
201,83,Standard,14.99,2023-11-16,,Active
202,83,Standard,14.99,2024-05-14,2025-04-06,Canceled
203,84,Premium,19.99,2023-04-15,2023-09-26,Canceled
204,85,Premium,19.99,2023-09-08,,Active
205,85,Premium,19.99,2024-03-06,,Active
206,85,Premium,19.99,2024-09-02,2025-03-09,Canceled
207,86,Standard,14.99,2023-11-21,2024-09-12,Canceled
208,87,Basic,9.99,2023-01-02,,Active
209,87,Basic,9.99,2023-07-01,2023-11-07,Canceled
210,88,Basic,9.99,2023-03-24,2024-02-15,Canceled
211,89,Premium,19.99,2023-10-15,,Active
212,89,Premium,19.99,2024-04-12,,Active
213,89,Standard,14.99,2024-10-09,,Active
214,90,Basic,9.99,2023-10-07,2023-12-08,Canceled
215,91,Standard,14.99,2023-10-10,,Active
216,91,Standard,14.99,2024-04-07,2024-09-16,Canceled
217,92,Premium,19.99,2023-06-07,,Active
218,92,Standard,14.99,2023-12-04,,Active
219,92,Standard,14.99,2024-06-01,,Active
220,92,Standard,14.99,2024-11-28,,Active
221,93,Basic,9.99,2023-04-18,,Active
222,93,Basic,9.99,2023-10-15,,Active
223,93,Basic,9.99,2024-04-12,2024-10-04,Canceled
224,94,Standard,14.99,2023-10-14,,Active
225,94,Standard,14.99,2024-04-11,,Active
226,94,Standard,14.99,2024-10-08,2025-04-26,Canceled
227,95,Standard,14.99,2023-05-02,,Active
228,95,Standard,14.99,2023-10-29,,Active
229,95,Standard,14.99,2024-04-26,,Active
230,95,Standard,14.99,2024-10-23,,Active
231,96,Premium,19.99,2023-01-13,,Active
232,96,Premium,19.99,2023-07-12,,Active
233,96,Premium,19.99,2024-01-08,,Active
234,96,Premium,19.99,2024-07-06,,Active
235,97,Basic,9.99,2023-12-09,2024-03-17,Canceled
236,98,Premium,19.99,2023-07-15,,Active
237,98,Premium,19.99,2024-01-11,,Active
238,98,Premium,19.99,2024-07-09,2024-12-07,Canceled
239,99,Standard,14.99,2023-04-13,,Active
240,99,Standard,14.99,2023-10-10,2024-02-11,Canceled
241,100,Premium,19.99,2023-04-25,,Active
242,100,Premium,19.99,2023-10-22,,Active
243,100,Premium,19.99,2024-04-19,,Active
244,100,Premium,19.99,2024-10-16,,Active
245,101,Premium,19.99,2023-06-18,2024-01-05,Canceled
246,102,Premium,19.99,2023-06-29,,Active
247,102,Premium,19.99,2023-12-26,,Active
248,102,Premium,19.99,2024-06-23,,Active
249,102,Premium,19.99,2024-12-20,,Active
250,103,Basic,9.99,2023-06-19,,Active
251,103,Premium,19.99,2023-12-16,,Active
252,103,Basic,9.99,2024-06-13,,Active
253,103,Basic,9.99,2024-12-10,,Active
254,104,Basic,9.99,2023-10-25,,Active
255,104,Standard,14.99,2024-04-22,2025-01-24,Canceled
256,105,Premium,19.99,2023-08-11,,Active
257,105,Premium,19.99,2024-02-07,,Active
258,105,Premium,19.99,2024-08-05,,Active
259,106,Basic,9.99,2023-11-07,,Active
260,106,Basic,9.99,2024-05-05,2025-01-13,Canceled
261,107,Standard,14.99,2023-04-08,,Active
262,107,Standard,14.99,2023-10-05,,Active
263,107,Standard,14.99,2024-04-02,2025-02-23,Canceled
264,108,Standard,14.99,2023-01-01,,Active
265,108,Standard,14.99,2023-06-30,,Active
266,108,Standard,14.99,2023-12-27,,Active
267,108,Standard,14.99,2024-06-24,,Active
268,108,Standard,14.99,2024-12-21,,Active
269,109,Standard,14.99,2023-07-06,,Active
270,109,Standard,14.99,2024-01-02,,Active
271,109,Standard,14.99,2024-06-30,,Active
272,109,Standard,14.99,2024-12-27,,Active
273,110,Standard,14.99,2023-11-16,,Active
274,110,Standard,14.99,2024-05-14,,Active
275,110,Standard,14.99,2024-11-10,,Active
276,111,Standard,14.99,2023-09-17,,Active
277,111,Standard,14.99,2024-03-15,,Active
278,111,Standard,14.99,2024-09-11,,Active
279,112,Standard,14.99,2023-07-26,,Active
280,112,Standard,14.99,2024-01-22,,Active
281,112,Standard,14.99,2024-07-20,,Active
282,113,Basic,9.99,2023-08-04,,Active
283,113,Basic,9.99,2024-01-31,,Active
284,113,Premium,19.99,2024-07-29,2024-10-02,Canceled
285,114,Basic,9.99,2023-11-12,,Active
286,114,Basic,9.99,2024-05-10,2025-04-04,Canceled
287,115,Basic,9.99,2023-01-01,,Active
288,115,Standard,14.99,2023-06-30,,Active
289,115,Standard,14.99,2023-12-27,,Active
290,115,Standard,14.99,2024-06-24,,Active
291,115,Standard,14.99,2024-12-21,2025-11-03,Canceled
292,116,Basic,9.99,2023-10-24,2024-05-10,Canceled
293,117,Basic,9.99,2023-08-15,,Active
294,117,Basic,9.99,2024-02-11,,Active
295,117,Basic,9.99,2024-08-09,2025-04-29,Canceled
296,118,Basic,9.99,2023-08-31,,Active
297,118,Basic,9.99,2024-02-27,,Active
298,118,Basic,9.99,2024-08-25,2025-03-13,Canceled
299,119,Premium,19.99,2023-09-21,,Active
300,119,Premium,19.99,2024-03-19,2024-06-02,Canceled
301,120,Premium,19.99,2023-02-17,2023-12-15,Canceled
302,121,Premium,19.99,2023-04-12,,Active
303,121,Premium,19.99,2023-10-09,,Active
304,121,Premium,19.99,2024-04-06,,Active
305,121,Premium,19.99,2024-10-03,,Active
306,122,Premium,19.99,2023-09-01,,Active
307,122,Premium,19.99,2024-02-28,,Active
308,122,Basic,9.99,2024-08-26,,Active
309,123,Premium,19.99,2023-08-01,,Active
310,123,Premium,19.99,2024-01-28,,Active
311,123,Basic,9.99,2024-07-26,,Active
312,124,Basic,9.99,2023-09-11,2024-06-24,Canceled
313,125,Premium,19.99,2023-02-24,2023-05-26,Canceled
314,126,Standard,14.99,2023-08-26,,Active
315,126,Premium,19.99,2024-02-22,,Active
316,126,Premium,19.99,2024-08-20,,Active
317,127,Premium,19.99,2023-08-22,,Active
318,127,Premium,19.99,2024-02-18,2024-04-26,Canceled
319,128,Standard,14.99,2023-10-14,2024-05-23,Canceled
320,129,Premium,19.99,2023-09-16,,Active
321,129,Premium,19.99,2024-03-14,,Active
322,129,Premium,19.99,2024-09-10,,Active
323,130,Basic,9.99,2023-03-23,,Active
324,130,Basic,9.99,2023-09-19,,Active
325,130,Basic,9.99,2024-03-17,,Active
326,130,Basic,9.99,2024-09-13,,Active
327,131,Basic,9.99,2023-11-23,,Active
328,131,Premium,19.99,2024-05-21,,Active
329,131,Standard,14.99,2024-11-17,,Active
330,132,Basic,9.99,2023-11-17,2024-06-05,Canceled
331,133,Premium,19.99,2024-01-01,,Active
332,133,Premium,19.99,2024-06-29,,Active
333,133,Premium,19.99,2024-12-26,2025-02-25,Canceled
334,134,Standard,14.99,2023-06-13,2023-12-30,Canceled
335,135,Premium,19.99,2023-04-29,2023-12-24,Canceled
336,136,Basic,9.99,2023-02-02,2023-09-24,Canceled
337,137,Standard,14.99,2023-08-27,,Active
338,137,Standard,14.99,2024-02-23,,Active
339,137,Standard,14.99,2024-08-21,,Active
340,138,Standard,14.99,2023-07-19,2023-11-01,Canceled
341,139,Basic,9.99,2023-07-14,,Active
342,139,Basic,9.99,2024-01-10,,Active
343,139,Basic,9.99,2024-07-08,2024-12-10,Canceled
344,140,Standard,14.99,2023-07-19,,Active
345,140,Standard,14.99,2024-01-15,,Active
346,140,Standard,14.99,2024-07-13,,Active
347,141,Basic,9.99,2023-11-05,,Active
348,141,Basic,9.99,2024-05-03,2025-01-09,Canceled
349,142,Standard,14.99,2023-08-12,,Active
350,142,Premium,19.99,2024-02-08,,Active
351,142,Premium,19.99,2024-08-06,,Active
352,143,Premium,19.99,2023-12-09,,Active
353,143,Premium,19.99,2024-06-06,,Active
354,143,Premium,19.99,2024-12-03,2025-05-09,Canceled
355,144,Premium,19.99,2023-03-07,2023-07-12,Canceled
356,145,Standard,14.99,2023-10-31,,Active
357,145,Premium,19.99,2024-04-28,2024-11-20,Canceled
358,146,Basic,9.99,2023-11-26,,Active
359,146,Basic,9.99,2024-05-24,,Active
360,146,Basic,9.99,2024-11-20,,Active
361,147,Basic,9.99,2023-01-26,,Active
362,147,Basic,9.99,2023-07-25,,Active
363,147,Standard,14.99,2024-01-21,,Active
364,147,Standard,14.99,2024-07-19,,Active
365,148,Basic,9.99,2023-08-21,,Active
366,148,Basic,9.99,2024-02-17,,Active
367,148,Basic,9.99,2024-08-15,,Active
368,149,Premium,19.99,2023-08-04,,Active
369,149,Premium,19.99,2024-01-31,2024-06-26,Canceled
370,150,Basic,9.99,2023-01-10,2024-01-04,Canceled
371,151,Standard,14.99,2023-11-29,2024-04-16,Canceled
372,152,Premium,19.99,2023-01-16,2024-01-02,Canceled
373,153,Basic,9.99,2023-03-20,2023-12-27,Canceled
374,154,Standard,14.99,2023-10-16,,Active
375,154,Standard,14.99,2024-04-13,2024-11-06,Canceled
376,155,Basic,9.99,2023-07-08,,Active
377,155,Basic,9.99,2024-01-04,,Active
378,155,Basic,9.99,2024-07-02,2025-06-09,Canceled
379,156,Premium,19.99,2023-03-25,,Active
380,156,Premium,19.99,2023-09-21,,Active
381,156,Basic,9.99,2024-03-19,2024-09-27,Canceled
382,157,Basic,9.99,2023-06-09,,Active
383,157,Basic,9.99,2023-12-06,,Active
384,157,Basic,9.99,2024-06-03,,Active
385,157,Basic,9.99,2024-11-30,,Active
386,158,Standard,14.99,2023-04-12,,Active
387,158,Premium,19.99,2023-10-09,,Active
388,158,Premium,19.99,2024-04-06,2025-03-20,Canceled
389,159,Standard,14.99,2023-02-22,,Active
390,159,Standard,14.99,2023-08-21,,Active
391,159,Standard,14.99,2024-02-17,,Active
392,159,Standard,14.99,2024-08-15,,Active
393,160,Basic,9.99,2023-03-03,,Active
394,160,Standard,14.99,2023-08-30,,Active
395,160,Standard,14.99,2024-02-26,,Active
396,160,Standard,14.99,2024-08-24,,Active
397,161,Standard,14.99,2023-09-30,,Active
398,161,Premium,19.99,2024-03-28,,Active
399,161,Basic,9.99,2024-09-24,,Active
400,162,Premium,19.99,2023-09-17,,Active
401,162,Premium,19.99,2024-03-15,2025-03-04,Canceled
402,163,Premium,19.99,2023-09-08,,Active
403,163,Premium,19.99,2024-03-06,,Active
404,163,Premium,19.99,2024-09-02,,Active
405,164,Standard,14.99,2023-12-29,,Active
406,164,Standard,14.99,2024-06-26,,Active
407,164,Standard,14.99,2024-12-23,,Active
408,165,Standard,14.99,2023-11-30,2024-06-30,Canceled
409,166,Basic,9.99,2023-08-27,,Active
410,166,Basic,9.99,2024-02-23,2024-08-20,Canceled
411,167,Premium,19.99,2023-05-18,,Active
412,167,Standard,14.99,2023-11-14,,Active
413,167,Standard,14.99,2024-05-12,,Active
414,167,Standard,14.99,2024-11-08,,Active
415,168,Basic,9.99,2023-05-23,,Active
416,168,Basic,9.99,2023-11-19,,Active
417,168,Basic,9.99,2024-05-17,,Active
418,168,Basic,9.99,2024-11-13,,Active
419,169,Premium,19.99,2023-11-09,,Active
420,169,Premium,19.99,2024-05-07,,Active
421,169,Premium,19.99,2024-11-03,,Active
422,170,Basic,9.99,2023-09-11,,Active
423,170,Basic,9.99,2024-03-09,2024-10-13,Canceled
424,171,Basic,9.99,2023-07-01,,Active
425,171,Basic,9.99,2023-12-28,2024-10-17,Canceled
426,172,Standard,14.99,2023-12-26,,Active
427,172,Basic,9.99,2024-06-23,,Active
428,172,Basic,9.99,2024-12-20,,Active
429,173,Basic,9.99,2023-04-08,,Active
430,173,Basic,9.99,2023-10-05,2024-01-14,Canceled
431,174,Basic,9.99,2023-09-08,2024-03-06,Canceled
432,175,Basic,9.99,2023-11-27,,Active
433,175,Basic,9.99,2024-05-25,,Active
434,175,Basic,9.99,2024-11-21,2025-04-08,Canceled
435,176,Premium,19.99,2023-05-31,2024-05-09,Canceled
436,177,Standard,14.99,2023-06-06,,Active
437,177,Basic,9.99,2023-12-03,2024-07-26,Canceled
438,178,Basic,9.99,2023-10-11,,Active
439,178,Basic,9.99,2024-04-08,,Active
440,178,Basic,9.99,2024-10-05,2025-03-22,Canceled
441,179,Standard,14.99,2023-06-19,2024-02-26,Canceled
442,180,Standard,14.99,2023-06-06,,Active
443,180,Standard,14.99,2023-12-03,,Active
444,180,Standard,14.99,2024-05-31,,Active
445,180,Basic,9.99,2024-11-27,,Active
446,181,Basic,9.99,2023-06-11,,Active
447,181,Basic,9.99,2023-12-08,,Active
448,181,Basic,9.99,2024-06-05,,Active
449,181,Basic,9.99,2024-12-02,,Active
450,182,Standard,14.99,2023-04-09,2024-04-08,Canceled
451,183,Standard,14.99,2023-10-29,,Active
452,183,Standard,14.99,2024-04-26,,Active
453,183,Standard,14.99,2024-10-23,,Active
454,184,Premium,19.99,2023-04-10,,Active
455,184,Premium,19.99,2023-10-07,2024-03-06,Canceled
456,185,Basic,9.99,2023-06-04,,Active
457,185,Basic,9.99,2023-12-01,2024-07-22,Canceled
458,186,Premium,19.99,2023-05-21,,Active
459,186,Premium,19.99,2023-11-17,2024-08-06,Canceled
460,187,Basic,9.99,2023-12-24,2024-06-18,Canceled
461,188,Basic,9.99,2023-01-07,2023-11-18,Canceled
462,189,Basic,9.99,2023-08-14,,Active
463,189,Standard,14.99,2024-02-10,,Active
464,189,Standard,14.99,2024-08-08,,Active
465,190,Premium,19.99,2023-09-02,,Active
466,190,Basic,9.99,2024-02-29,,Active
467,190,Basic,9.99,2024-08-27,,Active
468,191,Standard,14.99,2023-09-09,,Active
469,191,Standard,14.99,2024-03-07,2024-08-05,Canceled
470,192,Basic,9.99,2023-03-19,,Active
471,192,Basic,9.99,2023-09-15,2024-08-04,Canceled
472,193,Basic,9.99,2023-02-13,,Active
473,193,Basic,9.99,2023-08-12,2023-11-22,Canceled
474,194,Standard,14.99,2023-11-07,,Active
475,194,Standard,14.99,2024-05-05,,Active
476,194,Standard,14.99,2024-11-01,,Active
477,195,Basic,9.99,2023-09-25,2024-02-14,Canceled
478,196,Standard,14.99,2023-10-29,,Active
479,196,Premium,19.99,2024-04-26,,Active
480,196,Premium,19.99,2024-10-23,,Active
481,197,Standard,14.99,2023-01-31,,Active
482,197,Standard,14.99,2023-07-30,,Active
483,197,Standard,14.99,2024-01-26,,Active
484,197,Standard,14.99,2024-07-24,,Active
485,198,Standard,14.99,2023-11-17,,Active
486,198,Standard,14.99,2024-05-15,,Active
487,198,Standard,14.99,2024-11-11,2025-09-24,Canceled
488,199,Standard,14.99,2023-03-22,,Active
489,199,Standard,14.99,2023-09-18,,Active
490,199,Standard,14.99,2024-03-16,,Active
491,199,Standard,14.99,2024-09-12,,Active
492,200,Basic,9.99,2023-03-22,,Active
493,200,Basic,9.99,2023-09-18,,Active
494,200,Basic,9.99,2024-03-16,2025-02-11,Canceled
495,201,Standard,14.99,2023-08-29,,Active
496,201,Standard,14.99,2024-02-25,,Active
497,201,Basic,9.99,2024-08-23,,Active
498,202,Premium,19.99,2023-12-28,2024-12-24,Canceled
499,203,Standard,14.99,2023-12-18,,Active
500,203,Premium,19.99,2024-06-15,,Active
501,203,Premium,19.99,2024-12-12,,Active
502,204,Basic,9.99,2023-12-05,,Active
503,204,Basic,9.99,2024-06-02,,Active
504,204,Standard,14.99,2024-11-29,,Active
505,205,Basic,9.99,2023-04-26,,Active
506,205,Basic,9.99,2023-10-23,2024-06-28,Canceled
507,206,Standard,14.99,2023-02-06,,Active
508,206,Standard,14.99,2023-08-05,,Active
509,206,Standard,14.99,2024-02-01,,Active
510,206,Standard,14.99,2024-07-30,,Active
511,207,Basic,9.99,2023-10-19,,Active
512,207,Basic,9.99,2024-04-16,,Active
513,207,Basic,9.99,2024-10-13,,Active
514,208,Standard,14.99,2023-12-19,,Active
515,208,Standard,14.99,2024-06-16,2025-06-16,Canceled
516,209,Basic,9.99,2023-09-14,2024-05-13,Canceled
517,210,Premium,19.99,2023-11-03,,Active
518,210,Premium,19.99,2024-05-01,,Active
519,210,Premium,19.99,2024-10-28,,Active
520,211,Basic,9.99,2023-11-06,2024-03-09,Canceled
521,212,Premium,19.99,2023-12-12,,Active
522,212,Standard,14.99,2024-06-09,,Active
523,212,Standard,14.99,2024-12-06,,Active
524,213,Standard,14.99,2023-10-23,,Active
525,213,Standard,14.99,2024-04-20,,Active
526,213,Standard,14.99,2024-10-17,,Active
527,214,Premium,19.99,2023-09-23,,Active
528,214,Premium,19.99,2024-03-21,,Active
529,214,Premium,19.99,2024-09-17,2024-12-06,Canceled
530,215,Basic,9.99,2023-10-27,,Active
531,215,Basic,9.99,2024-04-24,,Active
532,215,Premium,19.99,2024-10-21,,Active
533,216,Premium,19.99,2023-08-29,,Active
534,216,Premium,19.99,2024-02-25,,Active
535,216,Premium,19.99,2024-08-23,,Active
536,217,Basic,9.99,2023-12-10,,Active
537,217,Basic,9.99,2024-06-07,,Active
538,217,Basic,9.99,2024-12-04,2025-07-06,Canceled
539,218,Standard,14.99,2023-07-30,,Active
540,218,Standard,14.99,2024-01-26,2024-06-28,Canceled
541,219,Premium,19.99,2023-10-09,,Active
542,219,Premium,19.99,2024-04-06,,Active
543,219,Premium,19.99,2024-10-03,2025-01-11,Canceled
544,220,Standard,14.99,2023-05-10,,Active
545,220,Standard,14.99,2023-11-06,,Active
546,220,Standard,14.99,2024-05-04,,Active
547,220,Standard,14.99,2024-10-31,2025-06-03,Canceled
548,221,Premium,19.99,2023-01-01,,Active
549,221,Premium,19.99,2023-06-30,,Active
550,221,Premium,19.99,2023-12-27,,Active
551,221,Premium,19.99,2024-06-24,,Active
552,221,Premium,19.99,2024-12-21,,Active
553,222,Standard,14.99,2023-07-31,,Active
554,222,Standard,14.99,2024-01-27,,Active
555,222,Standard,14.99,2024-07-25,,Active
556,223,Premium,19.99,2023-11-15,,Active
557,223,Premium,19.99,2024-05-13,2024-11-30,Canceled
