payment_id,user_id,subscription_id,amount,payment_date,payment_status
118,7,13,19.99,2024-09-23,Success
119,7,13,19.99,2024-10-23,Success
120,7,13,19.99,2024-11-22,Success
121,7,13,19.99,2024-12-22,Success
122,7,14,19.99,2024-10-23,Success
123,7,14,19.99,2024-11-22,Success
124,7,14,19.99,2024-12-22,Success
125,8,15,14.99,2023-12-24,Success
126,8,15,14.99,2024-01-23,Success
127,8,15,14.99,2024-02-22,Success
128,8,15,14.99,2024-03-23,Success
129,9,16,19.99,2023-04-21,Success
130,9,16,19.99,2023-05-21,Success
131,9,16,19.99,2023-06-20,Success
132,9,16,19.99,2023-07-20,Success
133,9,16,19.99,2023-08-19,Success
134,9,16,19.99,2023-09-18,Failed
135,9,16,19.99,2023-10-18,Success
136,9,16,19.99,2023-11-17,Success
137,9,16,19.99,2023-12-17,Success
138,9,16,19.99,2024-01-16,Success
139,9,16,19.99,2024-02-15,Success
140,10,17,14.99,2023-02-22,Recovered
141,10,17,14.99,2023-02-19,Failed
142,10,17,14.99,2023-03-21,Success
143,10,17,14.99,2023-04-20,Success
144,10,17,14.99,2023-05-20,Success
145,10,17,14.99,2023-06-19,Success
146,10,17,14.99,2023-07-19,Failed
147,10,17,14.99,2023-08-18,Success
148,10,17,14.99,2023-09-17,Success
149,10,17,14.99,2023-10-17,Success
150,10,17,14.99,2023-11-16,Success
151,10,17,14.99,2023-12-16,Success
152,10,17,14.99,2024-01-15,Success
153,10,17,14.99,2024-02-14,Success
154,10,17,14.99,2024-03-15,Success
155,10,17,14.99,2024-04-14,Success
156,10,17,14.99,2024-05-14,Failed
157,10,17,14.99,2024-06-13,Success
158,10,17,14.99,2024-07-13,Success
159,10,17,14.99,2024-08-12,Success
160,10,17,14.99,2024-09-11,Success
161,10,17,14.99,2024-10-11,Success
162,10,17,14.99,2024-11-10,Success
163,10,17,14.99,2024-12-10,Success
164,10,18,19.99,2023-08-18,Success
165,10,18,19.99,2023-09-17,Success
166,10,18,19.99,2023-10-20,Recovered
167,10,18,19.99,2023-10-17,Failed
168,10,18,19.99,2023-11-16,Success
169,10,18,19.99,2023-12-16,Success
170,10,18,19.99,2024-01-15,Success
171,10,18,19.99,2024-02-14,Success
172,10,18,19.99,2024-03-15,Success
173,10,18,19.99,2024-04-14,Success
174,10,18,19.99,2024-05-14,Success
175,10,18,19.99,2024-06-13,Success
176,10,18,19.99,2024-07-13,Success
177,10,18,19.99,2024-08-12,Success
178,10,18,19.99,2024-09-11,Success
179,10,18,19.99,2024-10-11,Success
180,10,18,19.99,2024-11-10,Success
181,10,18,19.99,2024-12-10,Success
182,10,19,19.99,2024-02-14,Success
183,10,19,19.99,2024-03-15,Success
184,10,19,19.99,2024-04-14,Success
185,10,19,19.99,2024-05-14,Success
186,10,19,19.99,2024-06-13,Success
187,10,19,19.99,2024-07-13,Success
188,10,19,19.99,2024-08-15,Recovered
189,10,19,19.99,2024-08-12,Failed
190,10,19,19.99,2024-09-11,Success
191,10,19,19.99,2024-10-11,Success
192,10,19,19.99,2024-11-10,Success
193,10,19,19.99,2024-12-10,Success
194,10,20,19.99,2024-08-12,Success
195,10,20,19.99,2024-09-11,Success
196,10,20,19.99,2024-10-11,Success
197,10,20,19.99,2024-11-10,Success
198,10,20,19.99,2024-12-10,Success
199,11,21,19.99,2023-05-16,Success
200,11,21,19.99,2023-06-15,Success
201,11,21,19.99,2023-07-15,Success
202,11,21,19.99,2023-08-14,Success
203,11,21,19.99,2023-09-13,Success
204,11,21,19.99,2023-10-13,Failed
205,11,21,19.99,2023-11-12,Success
206,11,21,19.99,2023-12-12,Success
207,11,21,19.99,2024-01-11,Success
208,11,21,19.99,2024-02-10,Success
209,11,21,19.99,2024-03-11,Failed
210,11,21,19.99,2024-04-10,Success
211,11,21,19.99,2024-05-10,Success
212,11,21,19.99,2024-06-09,Success
213,11,21,19.99,2024-07-09,Success
214,11,21,19.99,2024-08-08,Success
215,11,21,19.99,2024-09-07,Success
216,11,21,19.99,2024-10-10,Recovered
217,11,21,19.99,2024-10-07,Failed
218,11,21,19.99,2024-11-06,Success
219,11,21,19.99,2024-12-09,Recovered
220,11,21,19.99,2024-12-06,Failed
221,11,22,9.99,2023-11-12,Success
222,11,22,9.99,2023-12-12,Success
223,11,22,9.99,2024-01-11,Success
224,11,22,9.99,2024-02-10,Success
225,11,22,9.99,2024-03-14,Recovered
226,11,22,9.99,2024-03-11,Failed
227,11,22,9.99,2024-04-10,Success
228,11,22,9.99,2024-05-10,Success
229,11,22,9.99,2024-06-09,Success
230,11,22,9.99,2024-07-09,Success
231,11,22,9.99,2024-08-08,Success
232,11,22,9.99,2024-09-07,Success
233,11,22,9.99,2024-10-07,Success
234,11,22,9.99,2024-11-06,Success
235,12,23,14.99,2023-03-05,Success
236,12,23,14.99,2023-04-04,Success
237,12,23,14.99,2023-05-04,Success
238,12,23,14.99,2023-06-03,Success
239,12,23,14.99,2023-07-03,Success
240,12,23,14.99,2023-08-02,Success
241,12,23,14.99,2023-09-01,Success
242,12,23,14.99,2023-10-01,Success
243,12,23,14.99,2023-10-31,Success
244,12,23,14.99,2023-11-30,Success
245,12,23,14.99,2023-12-30,Success
246,12,23,14.99,2024-01-29,Success
247,12,23,14.99,2024-02-28,Success
248,12,23,14.99,2024-03-29,Success
249,12,23,14.99,2024-04-28,Success
250,12,23,14.99,2024-05-28,Success
251,12,23,14.99,2024-06-27,Success
252,12,23,14.99,2024-07-27,Failed
253,12,23,14.99,2024-08-26,Success
254,12,23,14.99,2024-09-25,Success
255,12,23,14.99,2024-10-25,Success
256,12,23,14.99,2024-11-24,Success
257,12,23,14.99,2024-12-24,Success
258,12,24,14.99,2023-09-01,Success
259,12,24,14.99,2023-10-01,Success
260,12,24,14.99,2023-10-31,Success
261,12,24,14.99,2023-11-30,Success
262,12,24,14.99,2023-12-30,Success
263,12,24,14.99,2024-02-01,Recovered
264,12,24,14.99,2024-01-29,Failed
265,12,24,14.99,2024-02-28,Success
266,12,24,14.99,2024-03-29,Success
267,12,24,14.99,2024-04-28,Success
268,12,24,14.99,2024-05-31,Recovered
269,12,24,14.99,2024-05-28,Failed
270,12,24,14.99,2024-06-27,Success
271,12,24,14.99,2024-07-27,Success
272,12,24,14.99,2024-08-26,Success
273,12,24,14.99,2024-09-25,Success
274,12,24,14.99,2024-10-28,Recovered
275,12,24,14.99,2024-10-25,Failed
276,12,24,14.99,2024-11-24,Success
277,12,24,14.99,2024-12-24,Success
278,12,25,14.99,2024-02-28,Success
279,12,25,14.99,2024-03-29,Success
280,12,25,14.99,2024-04-28,Success
281,12,25,14.99,2024-05-28,Success
282,12,25,14.99,2024-06-27,Success
283,12,25,14.99,2024-07-27,Success
284,12,25,14.99,2024-08-26,Success
285,12,25,14.99,2024-09-25,Success
286,12,25,14.99,2024-10-25,Success
287,12,25,14.99,2024-11-24,Success
288,12,25,14.99,2024-12-24,Success
289,12,26,14.99,2024-08-26,Failed
290,12,26,14.99,2024-09-25,Success
291,12,26,14.99,2024-10-25,Success
292,12,26,14.99,2024-11-24,Success
293,12,26,14.99,2024-12-24,Failed
294,13,27,19.99,2023-11-18,Success
295,13,27,19.99,2023-12-18,Success
296,13,27,19.99,2024-01-17,Success
297,13,27,19.99,2024-02-16,Success
298,13,27,19.99,2024-03-17,Success
299,13,27,19.99,2024-04-16,Success
300,13,27,19.99,2024-05-16,Success
301,13,27,19.99,2024-06-15,Success
302,13,27,19.99,2024-07-15,Success
303,13,27,19.99,2024-08-14,Success
304,13,27,19.99,2024-09-13,Success
305,14,28,14.99,2023-04-09,Success
306,14,28,14.99,2023-05-09,Success
307,14,28,14.99,2023-06-08,Success
308,14,28,14.99,2023-07-08,Success
309,14,28,14.99,2023-08-07,Success
310,14,28,14.99,2023-09-06,Success
311,14,28,14.99,2023-10-06,Success
312,14,28,14.99,2023-11-05,Failed
313,14,28,14.99,2023-12-05,Success
314,14,28,14.99,2024-01-04,Success
315,14,28,14.99,2024-02-03,Failed
316,14,28,14.99,2024-03-04,Success
317,14,28,14.99,2024-04-03,Success
318,14,28,14.99,2024-05-03,Failed
319,14,28,14.99,2024-06-02,Success
320,14,28,14.99,2024-07-02,Success
321,14,28,14.99,2024-08-01,Success
322,14,28,14.99,2024-08-31,Success
323,14,28,14.99,2024-09-30,Success
324,14,28,14.99,2024-10-30,Success
325,14,28,14.99,2024-12-02,Recovered
326,14,28,14.99,2024-11-29,Failed
327,14,28,14.99,2024-12-29,Success
328,14,29,19.99,2023-10-06,Success
329,14,29,19.99,2023-11-05,Success
330,14,29,19.99,2023-12-05,Success
331,14,29,19.99,2024-01-04,Success
332,14,29,19.99,2024-02-03,Success
333,14,29,19.99,2024-03-04,Success
334,14,29,19.99,2024-04-03,Success
335,14,29,19.99,2024-05-03,Success
336,14,29,19.99,2024-06-02,Success
337,14,29,19.99,2024-07-02,Success
338,14,29,19.99,2024-08-04,Recovered
339,14,29,19.99,2024-08-01,Failed
340,14,29,19.99,2024-08-31,Success
341,14,29,19.99,2024-09-30,Success
342,14,29,19.99,2024-10-30,Success
343,14,29,19.99,2024-11-29,Success
344,14,29,19.99,2024-12-29,Success
345,14,30,19.99,2024-04-03,Success
346,14,30,19.99,2024-05-03,Success
347,14,30,19.99,2024-06-02,Failed
348,14,30,19.99,2024-07-02,Success
349,14,30,19.99,2024-08-01,Success
350,14,30,19.99,2024-08-31,Success
351,14,30,19.99,2024-09-30,Success
352,14,30,19.99,2024-10-30,Success
353,14,30,19.99,2024-11-29,Success
354,14,30,19.99,2024-12-29,Success
355,14,30,19.99,2025-01-28,Success
356,15,31,19.99,2023-05-29,Success
357,15,31,19.99,2023-07-01,Recovered
358,15,31,19.99,2023-06-28,Failed
359,15,31,19.99,2023-07-28,Success
360,15,31,19.99,2023-08-27,Failed
361,15,31,19.99,2023-09-26,Success
362,15,31,19.99,2023-10-26,Success
363,15,31,19.99,2023-11-25,Success
364,15,31,19.99,2023-12-25,Success
365,15,31,19.99,2024-01-24,Success
366,15,31,19.99,2024-02-23,Success
367,15,31,19.99,2024-03-24,Success
368,15,31,19.99,2024-04-23,Success
369,15,31,19.99,2024-05-23,Success
370,15,31,19.99,2024-06-22,Success
371,15,31,19.99,2024-07-22,Success
372,15,31,19.99,2024-08-21,Success
373,15,31,19.99,2024-09-20,Success
374,15,31,19.99,2024-10-20,Success
375,15,31,19.99,2024-11-19,Success
376,15,31,19.99,2024-12-19,Success
377,15,32,19.99,2023-11-25,Success
378,15,32,19.99,2023-12-28,Recovered
379,15,32,19.99,2023-12-25,Failed
380,15,32,19.99,2024-01-24,Success
381,16,33,14.99,2023-07-14,Success
382,16,33,14.99,2023-08-13,Success
383,16,33,14.99,2023-09-12,Success
384,16,33,14.99,2023-10-12,Success
385,17,34,14.99,2023-03-25,Success
386,17,34,14.99,2023-04-24,Success
387,17,34,14.99,2023-05-24,Success
388,17,34,14.99,2023-06-26,Recovered
389,17,34,14.99,2023-06-23,Failed
390,17,34,14.99,2023-07-23,Success
391,17,34,14.99,2023-08-22,Success
392,17,34,14.99,2023-09-21,Success
393,17,34,14.99,2023-10-21,Success
394,17,34,14.99,2023-11-20,Success
395,17,34,14.99,2023-12-20,Success
396,17,34,14.99,2024-01-19,Success
397,17,34,14.99,2024-02-18,Success
398,17,34,14.99,2024-03-19,Success
399,17,34,14.99,2024-04-18,Success
400,17,34,14.99,2024-05-18,Success
401,17,34,14.99,2024-06-17,Success
402,17,34,14.99,2024-07-17,Success
403,17,34,14.99,2024-08-16,Failed
404,17,34,14.99,2024-09-15,Success
405,17,34,14.99,2024-10-15,Success
406,17,34,14.99,2024-11-14,Success
407,17,34,14.99,2024-12-14,Success
408,17,35,14.99,2023-09-21,Success
409,17,35,14.99,2023-10-24,Recovered
410,17,35,14.99,2023-10-21,Failed
411,17,35,14.99,2023-11-20,Success
412,17,35,14.99,2023-12-20,Success
413,17,35,14.99,2024-01-19,Success
414,17,35,14.99,2024-02-18,Failed
415,17,35,14.99,2024-03-19,Success
416,17,35,14.99,2024-04-18,Success
417,17,35,14.99,2024-05-18,Success
418,17,35,14.99,2024-06-17,Success
419,17,35,14.99,2024-07-17,Success
420,17,35,14.99,2024-08-16,Success
421,17,35,14.99,2024-09-15,Success
422,17,35,14.99,2024-10-15,Success
423,17,35,14.99,2024-11-14,Success
424,17,35,14.99,2024-12-14,Success
425,17,36,14.99,2024-03-19,Success
426,17,36,14.99,2024-04-18,Success
427,17,36,14.99,2024-05-18,Success
428,17,36,14.99,2024-06-17,Success
429,17,36,14.99,2024-07-17,Success
430,17,36,14.99,2024-08-16,Success
431,17,36,14.99,2024-09-15,Success
432,17,36,14.99,2024-10-15,Success
433,17,36,14.99,2024-11-14,Success
434,17,36,14.99,2024-12-14,Success
435,17,37,14.99,2024-09-15,Success
436,17,37,14.99,2024-10-15,Success
437,17,37,14.99,2024-11-17,Recovered
438,17,37,14.99,2024-11-14,Failed
439,17,37,14.99,2024-12-14,Success
440,18,38,19.99,2023-12-26,Success
441,18,38,19.99,2024-01-25,Success
442,18,38,19.99,2024-02-24,Success
443,18,38,19.99,2024-03-25,Success
444,18,38,19.99,2024-04-24,Success
445,18,38,19.99,2024-05-24,Success
446,18,38,19.99,2024-06-23,Success
447,18,38,19.99,2024-07-23,Success
448,18,38,19.99,2024-08-22,Success
449,19,39,19.99,2023-10-01,Success
450,19,39,19.99,2023-10-31,Success
451,19,39,19.99,2023-11-30,Success
452,19,39,19.99,2024-01-02,Recovered
453,19,39,19.99,2023-12-30,Failed
454,19,39,19.99,2024-01-29,Success
455,19,39,19.99,2024-02-28,Success
456,19,39,19.99,2024-03-29,Success
457,19,39,19.99,2024-04-28,Success
458,19,39,19.99,2024-05-28,Success
459,19,39,19.99,2024-06-30,Recovered
460,19,39,19.99,2024-06-27,Failed
461,19,39,19.99,2024-07-30,Recovered
462,19,39,19.99,2024-07-27,Failed
463,19,39,19.99,2024-08-26,Success
464,19,39,19.99,2024-09-25,Success
465,19,39,19.99,2024-10-25,Success
466,19,39,19.99,2024-11-24,Success
467,19,39,19.99,2024-12-24,Success
468,19,40,19.99,2024-03-29,Success
469,19,40,19.99,2024-04-28,Success
470,19,40,19.99,2024-05-28,Success
471,19,40,19.99,2024-06-27,Success
472,19,40,19.99,2024-07-27,Success
473,19,40,19.99,2024-08-26,Success
474,19,40,19.99,2024-09-25,Success
475,19,40,19.99,2024-10-25,Success
476,19,40,19.99,2024-11-24,Success
477,19,40,19.99,2024-12-24,Success
478,19,41,19.99,2024-09-25,Success
479,19,41,19.99,2024-10-25,Success
480,19,41,19.99,2024-11-24,Success
481,19,41,19.99,2024-12-24,Success
482,19,41,19.99,2025-01-23,Success
483,19,41,19.99,2025-02-22,Success
484,19,41,19.99,2025-03-24,Success
485,19,41,19.99,2025-04-23,Success
486,19,41,19.99,2025-05-23,Success
487,19,41,19.99,2025-06-22,Success
488,19,41,19.99,2025-07-22,Success
489,20,42,19.99,2023-05-19,Success
490,20,42,19.99,2023-06-18,Success
491,20,42,19.99,2023-07-18,Failed
492,20,42,19.99,2023-08-17,Success
493,20,42,19.99,2023-09-16,Success
494,20,42,19.99,2023-10-16,Success
495,20,42,19.99,2023-11-15,Success
496,20,42,19.99,2023-12-15,Success
497,20,42,19.99,2024-01-14,Success
498,20,42,19.99,2024-02-13,Success
499,20,42,19.99,2024-03-14,Success
500,20,42,19.99,2024-04-13,Success
501,20,42,19.99,2024-05-13,Success
502,20,42,19.99,2024-06-12,Success
503,20,42,19.99,2024-07-12,Failed
504,20,42,19.99,2024-08-11,Success
505,20,42,19.99,2024-09-10,Failed
506,20,42,19.99,2024-10-10,Success
507,20,42,19.99,2024-11-09,Success
508,20,42,19.99,2024-12-09,Success
509,20,43,19.99,2023-11-15,Success
510,20,43,19.99,2023-12-15,Success
511,20,43,19.99,2024-01-14,Failed
512,20,43,19.99,2024-02-13,Success
513,20,43,19.99,2024-03-14,Success
514,20,43,19.99,2024-04-13,Success
515,21,44,14.99,2023-12-17,Success
516,21,44,14.99,2024-01-16,Success
517,21,44,14.99,2024-02-15,Success
518,21,44,14.99,2024-03-16,Success
519,21,44,14.99,2024-04-15,Success
520,21,44,14.99,2024-05-15,Success
521,21,44,14.99,2024-06-14,Success
522,21,44,14.99,2024-07-14,Success
523,21,44,14.99,2024-08-13,Success
524,21,44,14.99,2024-09-12,Success
525,21,44,14.99,2024-10-12,Success
526,21,44,14.99,2024-11-11,Success
527,21,44,14.99,2024-12-11,Success
528,21,45,14.99,2024-06-14,Success
529,21,45,14.99,2024-07-14,Success
530,21,45,14.99,2024-08-13,Success
531,21,45,14.99,2024-09-12,Success
532,21,45,14.99,2024-10-12,Success
533,21,45,14.99,2024-11-11,Success
534,21,45,14.99,2024-12-11,Success
535,21,46,14.99,2024-12-11,Success
536,22,47,14.99,2023-01-17,Success
537,22,47,14.99,2023-02-16,Success
538,22,47,14.99,2023-03-18,Success
539,22,47,14.99,2023-04-17,Success
540,22,47,14.99,2023-05-20,Recovered
541,22,47,14.99,2023-05-17,Failed
542,22,47,14.99,2023-06-16,Success
543,22,47,14.99,2023-07-16,Success
544,22,47,14.99,2023-08-15,Success
545,22,47,14.99,2023-09-14,Success
546,22,47,14.99,2023-10-14,Success
547,22,47,14.99,2023-11-13,Success
548,22,47,14.99,2023-12-13,Success
549,22,47,14.99,2024-01-12,Success
550,22,47,14.99,2024-02-11,Success
551,22,47,14.99,2024-03-12,Success
552,22,47,14.99,2024-04-11,Success
553,22,47,14.99,2024-05-11,Success
554,22,47,14.99,2024-06-10,Success
555,22,47,14.99,2024-07-10,Success
556,22,47,14.99,2024-08-09,Success
557,22,47,14.99,2024-09-08,Success
558,22,47,14.99,2024-10-08,Success
559,22,47,14.99,2024-11-07,Failed
560,22,47,14.99,2024-12-07,Success
561,22,48,14.99,2023-07-16,Success
562,22,48,14.99,2023-08-15,Success
563,22,48,14.99,2023-09-14,Success
564,22,48,14.99,2023-10-14,Success
565,22,48,14.99,2023-11-13,Success
566,22,48,14.99,2023-12-13,Success
567,22,48,14.99,2024-01-12,Success
568,22,48,14.99,2024-02-11,Success
569,22,48,14.99,2024-03-12,Success
570,22,48,14.99,2024-04-11,Success
571,22,48,14.99,2024-05-11,Success
572,22,48,14.99,2024-06-10,Success
573,22,48,14.99,2024-07-10,Success
574,22,48,14.99,2024-08-09,Success
575,22,48,14.99,2024-09-08,Success
576,22,48,14.99,2024-10-08,Success
577,22,48,14.99,2024-11-07,Success
578,22,48,14.99,2024-12-07,Success
579,22,49,14.99,2024-01-15,Recovered
580,22,49,14.99,2024-01-12,Failed
581,22,49,14.99,2024-02-11,Success
582,22,49,14.99,2024-03-12,Success
583,22,49,14.99,2024-04-11,Success
584,22,49,14.99,2024-05-11,Success
585,22,49,14.99,2024-06-10,Success
586,22,49,14.99,2024-07-13,Recovered
587,22,49,14.99,2024-07-10,Failed
588,22,49,14.99,2024-08-09,Success
589,22,49,14.99,2024-09-08,Success
590,22,49,14.99,2024-10-08,Success
591,22,49,14.99,2024-11-10,Recovered
592,22,49,14.99,2024-11-07,Failed
593,22,49,14.99,2024-12-07,Success
594,22,50,14.99,2024-07-10,Success
595,22,50,14.99,2024-08-09,Failed
596,22,50,14.99,2024-09-08,Success
597,22,50,14.99,2024-10-08,Success
598,22,50,14.99,2024-11-07,Success
599,22,50,14.99,2024-12-07,Success
600,22,50,14.99,2025-01-06,Success
601,22,50,14.99,2025-02-05,Success
602,22,50,14.99,2025-03-07,Success
603,22,50,14.99,2025-04-06,Success
604,22,50,14.99,2025-05-06,Success
605,23,51,14.99,2023-04-19,Success
606,23,51,14.99,2023-05-19,Success
607,23,51,14.99,2023-06-21,Recovered
608,23,51,14.99,2023-06-18,Failed
609,23,51,14.99,2023-07-18,Success
610,23,51,14.99,2023-08-17,Success
611,23,51,14.99,2023-09-19,Recovered
612,23,51,14.99,2023-09-16,Failed
613,23,51,14.99,2023-10-16,Success
614,23,51,14.99,2023-11-15,Success
615,23,51,14.99,2023-12-15,Success
616,23,51,14.99,2024-01-14,Success
617,23,51,14.99,2024-02-13,Success
618,23,51,14.99,2024-03-14,Success
619,23,51,14.99,2024-04-16,Recovered
620,23,51,14.99,2024-04-13,Failed
621,23,51,14.99,2024-05-13,Success
622,23,51,14.99,2024-06-12,Success
623,23,51,14.99,2024-07-12,Success
624,23,51,14.99,2024-08-11,Success
625,23,51,14.99,2024-09-10,Success
626,23,51,14.99,2024-10-10,Success
627,23,51,14.99,2024-11-09,Success
628,23,51,14.99,2024-12-09,Success
629,23,52,9.99,2023-10-16,Success
630,23,52,9.99,2023-11-15,Success
631,23,52,9.99,2023-12-15,Success
632,23,52,9.99,2024-01-14,Success
633,23,52,9.99,2024-02-13,Success
634,23,52,9.99,2024-03-14,Success
635,23,52,9.99,2024-04-13,Success
636,23,52,9.99,2024-05-13,Success
637,23,52,9.99,2024-06-12,Success
638,23,52,9.99,2024-07-12,Success
639,23,52,9.99,2024-08-11,Success
640,23,52,9.99,2024-09-10,Success
641,23,52,9.99,2024-10-10,Success
642,23,52,9.99,2024-11-09,Success
643,23,52,9.99,2024-12-09,Success
644,23,53,9.99,2024-04-13,Success
645,23,53,9.99,2024-05-13,Success
646,23,53,9.99,2024-06-12,Success
647,23,53,9.99,2024-07-12,Success
648,23,53,9.99,2024-08-11,Success
649,23,53,9.99,2024-09-10,Success
650,23,53,9.99,2024-10-10,Failed
651,23,53,9.99,2024-11-09,Success
652,23,53,9.99,2024-12-09,Success
653,23,54,9.99,2024-10-13,Recovered
654,23,54,9.99,2024-10-10,Failed
655,23,54,9.99,2024-11-09,Success
656,23,54,9.99,2024-12-09,Success
657,24,55,14.99,2023-12-02,Success
658,24,55,14.99,2024-01-01,Success
659,24,55,14.99,2024-01-31,Success
660,24,55,14.99,2024-03-01,Success
661,24,55,14.99,2024-03-31,Success
662,24,55,14.99,2024-04-30,Success
663,24,55,14.99,2024-05-30,Success
664,24,55,14.99,2024-06-29,Success
665,24,55,14.99,2024-07-29,Success
666,24,55,14.99,2024-08-28,Success
667,24,55,14.99,2024-09-30,Recovered
668,24,55,14.99,2024-09-27,Failed
669,24,55,14.99,2024-10-27,Success
670,24,55,14.99,2024-11-29,Recovered
671,24,55,14.99,2024-11-26,Failed
672,24,55,14.99,2024-12-26,Success
673,24,56,14.99,2024-05-30,Success
674,24,56,14.99,2024-07-02,Recovered
675,24,56,14.99,2024-06-29,Failed
676,24,56,14.99,2024-07-29,Success
677,24,56,14.99,2024-08-28,Success
678,24,56,14.99,2024-09-27,Success
679,24,56,14.99,2024-10-27,Failed
680,24,56,14.99,2024-11-26,Success
681,24,56,14.99,2024-12-26,Success
682,24,57,14.99,2024-11-26,Success
683,24,57,14.99,2024-12-26,Success
684,24,57,14.99,2025-01-25,Success
685,24,57,14.99,2025-02-27,Recovered
686,24,57,14.99,2025-02-24,Failed
687,24,57,14.99,2025-03-26,Success
688,24,57,14.99,2025-04-25,Success
689,24,57,14.99,2025-05-25,Success
690,24,57,14.99,2025-06-24,Success
