user_id,age,country,device,acquisition_channel,signup_date
74,34,UK,Mobile,Facebook Ads,2023-05-03
75,38,Australia,Mobile,Organic,2023-08-23
76,57,Germany,Mobile,Organic,2023-08-23
77,31,Germany,Desktop,Google Ads,2023-10-03
78,22,Singapore,Desktop,Facebook Ads,2023-06-28
79,46,Australia,Tablet,Facebook Ads,2023-03-22
80,59,Germany,Mobile,Affiliate,2023-11-10
81,60,Thailand,Mobile,Facebook Ads,2023-06-03
82,24,India,Tablet,Google Ads,2023-03-01
83,36,Germany,Mobile,Facebook Ads,2023-05-20
84,58,Australia,Desktop,Affiliate,2023-04-15
85,34,Australia,Mobile,Organic,2023-09-08
86,45,Australia,Desktop,Organic,2023-11-21
87,39,Australia,Mobile,Facebook Ads,2023-01-02
88,46,Germany,Tablet,Referral,2023-03-24
89,18,Thailand,Mobile,Google Ads,2023-10-15
90,20,Australia,Desktop,Affiliate,2023-10-07
91,27,UK,Mobile,Organic,2023-10-10
92,41,Australia,Mobile,Facebook Ads,2023-06-07
93,33,India,Mobile,Facebook Ads,2023-04-18
94,44,Germany,Tablet,Google Ads,2023-10-14
95,28,Australia,Mobile,Referral,2023-05-02
96,29,India,Desktop,Referral,2023-01-13
97,33,USA,Mobile,Organic,2023-12-09
98,20,Australia,Desktop,Google Ads,2023-07-15
99,47,USA,Desktop,Google Ads,2023-04-13
100,19,India,Mobile,Referral,2023-04-25
101,35,Australia,Mobile,Facebook Ads,2023-06-18
102,59,Germany,Desktop,Affiliate,2023-06-29
103,19,Thailand,Desktop,Google Ads,2023-06-19
104,34,Thailand,Mobile,Affiliate,2023-10-25
105,40,India,Desktop,Referral,2023-08-11
106,50,Thailand,Desktop,Affiliate,2023-11-07
107,34,Thailand,Tablet,Referral,2023-04-08
108,51,Australia,Tablet,Google Ads,2023-01-01
109,45,Thailand,Tablet,Facebook Ads,2023-07-06
110,38,India,Mobile,Facebook Ads,2023-11-16
111,37,India,Desktop,Facebook Ads,2023-09-17
112,36,Germany,Mobile,Google Ads,2023-07-26
113,60,UK,Tablet,Google Ads,2023-08-04
114,54,USA,Desktop,Affiliate,2023-11-12
115,37,USA,Mobile,Referral,2023-01-01
116,56,India,Desktop,Referral,2023-10-24
117,46,India,Mobile,Affiliate,2023-08-15
118,28,India,Mobile,Facebook Ads,2023-08-31
119,60,India,Tablet,Facebook Ads,2023-09-21
120,33,India,Desktop,Google Ads,2023-02-17
121,27,Thailand,Mobile,Google Ads,2023-04-12
122,57,Australia,Mobile,Referral,2023-09-01
123,58,Germany,Mobile,Referral,2023-08-01
124,43,Singapore,Mobile,Organic,2023-09-11
125,45,Singapore,Mobile,Affiliate,2023-02-24
126,21,Germany,Mobile,Organic,2023-08-26
127,26,Australia,Desktop,Affiliate,2023-08-22
128,56,USA,Desktop,Affiliate,2023-10-14
129,45,Australia,Tablet,Referral,2023-09-16
130,48,UK,Desktop,Google Ads,2023-03-23
131,35,Australia,Tablet,Referral,2023-11-23
132,33,USA,Desktop,Organic,2023-11-17
133,36,Singapore,Desktop,Facebook Ads,2024-01-01
134,52,Thailand,Mobile,Google Ads,2023-06-13
135,42,India,Mobile,Google Ads,2023-04-29
136,44,UK,Desktop,Affiliate,2023-02-02
137,44,Thailand,Mobile,Referral,2023-08-27
138,55,India,Mobile,Affiliate,2023-07-19
139,48,Thailand,Desktop,Facebook Ads,2023-07-14
140,44,Germany,Tablet,Affiliate,2023-07-19
141,32,UK,Mobile,Facebook Ads,2023-11-05
142,49,Thailand,Desktop,Facebook Ads,2023-08-12
143,43,India,Mobile,Referral,2023-12-09
144,57,Germany,Mobile,Referral,2023-03-07
145,54,India,Mobile,Organic,2023-10-31
146,45,Singapore,Desktop,Google Ads,2023-11-26
147,34,UK,Desktop,Google Ads,2023-01-26
148,38,USA,Desktop,Facebook Ads,2023-08-21
149,34,Australia,Mobile,Referral,2023-08-04
150,52,Thailand,Desktop,Google Ads,2023-01-10
151,22,Australia,Tablet,Organic,2023-11-29
152,33,Singapore,Mobile,Affiliate,2023-01-16
153,33,Singapore,Desktop,Organic,2023-03-20
154,31,UK,Tablet,Facebook Ads,2023-10-16
155,28,Germany,Tablet,Organic,2023-07-08
156,37,Thailand,Tablet,Organic,2023-03-25
157,54,India,Desktop,Referral,2023-06-09
158,22,Germany,Tablet,Google Ads,2023-04-12
159,37,Australia,Tablet,Affiliate,2023-02-22
160,54,Australia,Mobile,Facebook Ads,2023-03-03
161,45,India,Desktop,Organic,2023-09-30
162,59,USA,Mobile,Referral,2023-09-17
163,24,UK,Desktop,Referral,2023-09-08
164,27,UK,Mobile,Affiliate,2023-12-29
165,35,Germany,Tablet,Referral,2023-11-30
166,45,Australia,Tablet,Affiliate,2023-08-27
167,38,Australia,Mobile,Organic,2023-05-18
168,46,Singapore,Desktop,Affiliate,2023-05-23
169,60,UK,Desktop,Organic,2023-11-09
170,38,Singapore,Desktop,Google Ads,2023-09-11
171,34,USA,Desktop,Affiliate,2023-07-01
172,35,Germany,Mobile,Affiliate,2023-12-26
173,23,Singapore,Tablet,Referral,2023-04-08
174,53,Australia,Mobile,Referral,2023-09-08
175,49,UK,Mobile,Organic,2023-11-27
176,32,UK,Tablet,Google Ads,2023-05-31
177,60,Germany,Desktop,Referral,2023-06-06
178,51,USA,Desktop,Affiliate,2023-10-11
179,40,India,Desktop,Facebook Ads,2023-06-19
180,34,Singapore,Mobile,Google Ads,2023-06-06
181,25,India,Tablet,Google Ads,2023-06-11
182,31,India,Desktop,Facebook Ads,2023-04-09
183,51,Germany,Desktop,Organic,2023-10-29
184,36,Singapore,Desktop,Google Ads,2023-04-10
185,18,India,Tablet,Google Ads,2023-06-04
186,20,Thailand,Tablet,Facebook Ads,2023-05-21
187,26,India,Desktop,Organic,2023-12-24
188,54,USA,Desktop,Referral,2023-01-07
189,39,Singapore,Mobile,Facebook Ads,2023-08-14
190,25,Australia,Mobile,Referral,2023-09-02
191,22,Germany,Tablet,Organic,2023-09-09
192,27,Australia,Tablet,Facebook Ads,2023-03-19
193,33,Thailand,Tablet,Referral,2023-02-13
194,56,Australia,Tablet,Google Ads,2023-11-07
195,42,UK,Desktop,Facebook Ads,2023-09-25
196,45,USA,Tablet,Affiliate,2023-10-29
197,57,India,Mobile,Google Ads,2023-01-31
198,31,USA,Tablet,Organic,2023-11-17
199,33,Singapore,Tablet,Organic,2023-03-22
200,18,UK,Desktop,Affiliate,2023-03-22
201,36,Thailand,Mobile,Facebook Ads,2023-08-29
202,36,India,Desktop,Organic,2023-12-28
203,32,USA,Tablet,Affiliate,2023-12-18
204,30,UK,Mobile,Affiliate,2023-12-05
205,59,Singapore,Desktop,Google Ads,2023-04-26
206,21,Singapore,Desktop,Affiliate,2023-02-06
207,36,UK,Mobile,Referral,2023-10-19
208,37,India,Desktop,Facebook Ads,2023-12-19
209,52,UK,Desktop,Organic,2023-09-14
210,20,UK,Tablet,Facebook Ads,2023-11-03
211,34,Thailand,Mobile,Google Ads,2023-11-06
212,54,Germany,Mobile,Facebook Ads,2023-12-12
213,20,Australia,Mobile,Referral,2023-10-23
214,59,UK,Desktop,Google Ads,2023-09-23
215,45,India,Desktop,Organic,2023-10-27
216,40,UK,Desktop,Facebook Ads,2023-08-29
217,24,Australia,Mobile,Facebook Ads,2023-12-10
218,49,USA,Tablet,Referral,2023-07-30
219,20,UK,Mobile,Facebook Ads,2023-10-09
220,38,Thailand,Desktop,Affiliate,2023-05-10
221,60,Australia,Tablet,Referral,2023-01-01
222,21,Singapore,Tablet,Facebook Ads,2023-07-31
223,49,India,Desktop,Organic,2023-11-15
224,35,Germany,Mobile,Facebook Ads,2023-04-15
225,49,Thailand,Mobile,Affiliate,2023-08-13
226,28,USA,Tablet,Organic,2023-05-03
227,44,Thailand,Mobile,Organic,2023-10-10
228,25,India,Mobile,Referral,2023-08-25
229,50,India,Desktop,Referral,2023-05-30
230,48,Singapore,Desktop,Affiliate,2023-09-05
231,42,Singapore,Tablet,Affiliate,2023-03-16
232,22,USA,Desktop,Facebook Ads,2023-03-11
233,35,Australia,Mobile,Facebook Ads,2023-09-17
234,55,Germany,Tablet,Referral,2023-06-02
235,46,Germany,Desktop,Facebook Ads,2023-03-18
236,53,Australia,Tablet,Referral,2023-06-20
237,38,Australia,Mobile,Google Ads,2023-08-22
238,42,Singapore,Desktop,Organic,2023-10-20
239,48,India,Desktop,Referral,2023-06-12
240,59,Singapore,Desktop,Organic,2023-12-06
241,50,Germany,Desktop,Organic,2023-03-06
242,24,Germany,Desktop,Organic,2023-08-14
243,44,Australia,Tablet,Google Ads,2023-03-15
244,48,Australia,Desktop,Facebook Ads,2023-02-08
245,43,India,Mobile,Facebook Ads,2023-11-16
246,52,UK,Desktop,Referral,2023-12-12
247,20,Germany,Mobile,Google Ads,2023-10-05
248,36,Singapore,Tablet,Organic,2023-11-20
249,24,Australia,Tablet,Organic,2023-08-11
250,28,India,Desktop,Organic,2023-08-16
251,38,Australia,Mobile,Facebook Ads,2023-01-24
252,41,UK,Mobile,Google Ads,2023-07-03
253,44,Germany,Tablet,Google Ads,2023-09-29
254,29,Thailand,Tablet,Referral,2023-03-29
255,33,UK,Tablet,Google Ads,2023-11-14
256,47,India,Desktop,Referral,2023-04-29
257,60,Thailand,Desktop,Facebook Ads,2023-05-11
258,52,Singapore,Mobile,Referral,2023-12-13
259,55,USA,Tablet,Referral,2023-06-26
260,34,UK,Desktop,Google Ads,2023-12-20
261,48,Thailand,Mobile,Referral,2023-07-16
262,40,Germany,Desktop,Facebook Ads,2023-10-20
263,60,UK,Desktop,Organic,2023-01-12
264,21,Germany,Tablet,Referral,2023-10-17
265,32,Germany,Desktop,Google Ads,2023-05-27
266,30,Germany,Desktop,Google Ads,2023-11-22
267,24,India,Tablet,Organic,2023-11-18
268,46,Thailand,Tablet,Facebook Ads,2023-06-08
269,23,USA,Desktop,Referral,2023-03-09
270,30,Singapore,Tablet,Facebook Ads,2023-03-31
271,50,USA,Mobile,Facebook Ads,2023-09-29
272,36,India,Desktop,Organic,2023-09-04
273,22,Singapore,Mobile,Referral,2023-08-28
274,41,Thailand,Desktop,Organic,2023-10-13
275,52,Thailand,Desktop,Facebook Ads,2023-05-16
276,34,Germany,Desktop,Facebook Ads,2023-12-11
277,32,UK,Mobile,Affiliate,2023-02-25
278,38,Germany,Mobile,Organic,2023-10-15
279,47,India,Desktop,Referral,2023-11-22
280,26,Thailand,Mobile,Facebook Ads,2023-03-01
281,25,Thailand,Mobile,Affiliate,2023-09-10
282,42,UK,Desktop,Affiliate,2023-03-11
283,55,India,Tablet,Google Ads,2023-08-03
284,59,Thailand,Desktop,Affiliate,2023-08-01
285,35,Thailand,Tablet,Facebook Ads,2023-07-28
286,46,UK,Mobile,Facebook Ads,2023-04-22
287,41,Germany,Tablet,Facebook Ads,2023-02-20
288,43,USA,Mobile,Organic,2023-02-01
289,23,India,Mobile,Affiliate,2023-08-21
290,21,Australia,Desktop,Google Ads,2023-01-11
291,54,Singapore,Mobile,Affiliate,2023-03-06
292,55,Singapore,Mobile,Facebook Ads,2023-04-17
293,56,Thailand,Desktop,Google Ads,2023-03-17
294,52,USA,Mobile,Organic,2023-03-08
295,19,Singapore,Mobile,Facebook Ads,2023-12-05
296,55,USA,Mobile,Google Ads,2023-05-02
297,21,Singapore,Tablet,Referral,2023-05-16
298,25,India,Mobile,Referral,2023-09-27
299,41,Germany,Tablet,Organic,2023-08-18
300,50,Singapore,Tablet,Organic,2023-08-20
301,51,USA,Desktop,Organic,2023-12-04
302,48,Australia,Desktop,Referral,2023-02-01
303,24,UK,Tablet,Referral,2023-12-18
304,23,USA,Tablet,Google Ads,2023-02-07
305,26,USA,Tablet,Affiliate,2023-02-03
306,38,UK,Tablet,Affiliate,2023-10-08
307,47,Germany,Tablet,Referral,2023-05-31
308,25,Australia,Tablet,Affiliate,2023-02-20
309,45,UK,Mobile,Referral,2023-04-21
310,47,UK,Desktop,Organic,2023-06-23
311,45,USA,Tablet,Facebook Ads,2023-06-10
312,27,India,Desktop,Organic,2023-07-11
313,23,Thailand,Desktop,Organic,2023-02-16
314,26,Germany,Mobile,Affiliate,2023-07-10
315,53,USA,Tablet,Organic,2023-10-15
316,40,Australia,Tablet,Referral,2023-07-30
317,36,Germany,Desktop,Facebook Ads,2023-01-27
318,54,Germany,Mobile,Google Ads,2023-02-23
319,48,Singapore,Mobile,Facebook Ads,2023-12-03
320,41,Thailand,Desktop,Affiliate,2023-10-12
321,45,Australia,Tablet,Affiliate,2023-04-26
322,59,Germany,Mobile,Affiliate,2023-11-11
323,35,Thailand,Mobile,Facebook Ads,2023-12-03
324,37,USA,Desktop,Organic,2023-12-26
325,27,Germany,Tablet,Referral,2023-04-03
326,27,India,Tablet,Organic,2023-02-05
327,51,Singapore,Desktop,Referral,2023-02-16
328,39,Singapore,Desktop,Facebook Ads,2023-08-21
329,54,Germany,Mobile,Organic,2023-06-16
330,28,Australia,Tablet,Organic,2023-03-21
331,23,USA,Desktop,Referral,2023-12-12
332,56,UK,Desktop,Facebook Ads,2023-09-06
333,50,Thailand,Desktop,Referral,2023-04-21
334,36,India,Tablet,Affiliate,2023-02-26
335,51,India,Desktop,Organic,2023-09-07
336,43,Germany,Mobile,Organic,2023-04-23
337,37,Singapore,Mobile,Facebook Ads,2023-04-15
338,38,Thailand,Mobile,Referral,2023-05-29
339,29,Singapore,Desktop,Affiliate,2023-08-09
340,32,Germany,Tablet,Facebook Ads,2023-12-27
341,43,Australia,Tablet,Organic,2023-02-06
342,19,UK,Mobile,Facebook Ads,2023-08-12
343,45,Germany,Desktop,Referral,2023-10-22
344,25,UK,Mobile,Facebook Ads,2023-05-29
345,57,UK,Tablet,Facebook Ads,2023-03-29
346,45,Australia,Mobile,Google Ads,2023-02-15
347,55,UK,Tablet,Organic,2023-08-12
348,37,India,Desktop,Google Ads,2023-07-22
349,28,Thailand,Tablet,Organic,2023-06-20
350,50,Singapore,Desktop,Facebook Ads,2023-09-29
351,27,Singapore,Mobile,Google Ads,2023-11-27
352,30,Singapore,Tablet,Google Ads,2023-05-12
353,22,Singapore,Tablet,Referral,2023-12-02
354,54,Australia,Tablet,Referral,2023-08-26
355,54,India,Tablet,Affiliate,2023-12-15
356,58,USA,Mobile,Referral,2023-06-15
357,48,UK,Tablet,Facebook Ads,2023-02-04
358,55,Thailand,Desktop,Affiliate,2023-05-21
359,37,UK,Desktop,Organic,2023-02-07
360,41,Australia,Desktop,Organic,2023-01-30
361,23,Germany,Tablet,Affiliate,2023-11-27
362,47,Germany,Tablet,Organic,2023-07-16
363,54,India,Mobile,Facebook Ads,2023-08-19
364,48,Germany,Mobile,Organic,2023-11-06
365,24,Australia,Desktop,Organic,2023-08-19
366,59,Singapore,Mobile,Google Ads,2023-09-16
367,46,UK,Tablet,Affiliate,2023-12-29
368,28,USA,Desktop,Facebook Ads,2023-11-09
369,44,Australia,Desktop,Affiliate,2023-07-18
370,58,India,Desktop,Organic,2023-01-27
371,24,Germany,Tablet,Referral,2023-06-18
372,34,India,Tablet,Affiliate,2023-05-26
373,39,Thailand,Tablet,Google Ads,2023-03-18
374,37,India,Tablet,Referral,2023-06-29
375,56,India,Mobile,Facebook Ads,2023-03-08
376,42,India,Desktop,Google Ads,2023-10-14
377,51,Thailand,Tablet,Referral,2023-12-10
378,41,Thailand,Desktop,Facebook Ads,2023-09-18
379,31,USA,Desktop,Google Ads,2023-04-03
380,26,Singapore,Mobile,Facebook Ads,2023-04-26
381,50,Australia,Tablet,Affiliate,2023-02-21
382,60,USA,Tablet,Google Ads,2023-01-20
383,42,Singapore,Mobile,Google Ads,2023-11-02
384,57,Australia,Mobile,Referral,2023-12-21
385,44,USA,Tablet,Google Ads,2023-01-23
386,57,USA,Tablet,Referral,2023-08-16
387,52,Singapore,Desktop,Referral,2023-04-30
388,41,India,Tablet,Referral,2023-04-10
389,36,Australia,Desktop,Affiliate,2023-08-25
390,44,Singapore,Mobile,Affiliate,2023-09-28
391,34,Thailand,Tablet,Referral,2023-03-12
392,53,Thailand,Tablet,Affiliate,2023-07-10
393,36,Thailand,Mobile,Facebook Ads,2023-03-05
394,50,Singapore,Desktop,Organic,2023-08-19
395,46,USA,Mobile,Referral,2023-04-24
396,43,Germany,Desktop,Google Ads,2023-01-28
397,23,USA,Mobile,Organic,2023-07-17
398,24,Australia,Tablet,Facebook Ads,2023-06-13
399,26,Thailand,Desktop,Referral,2023-03-16
400,26,Australia,Tablet,Referral,2023-12-23
401,57,Thailand,Mobile,Organic,2023-08-18
402,31,Australia,Mobile,Affiliate,2023-05-12
403,51,UK,Mobile,Facebook Ads,2023-11-08
404,37,Thailand,Mobile,Google Ads,2023-05-02
405,58,Australia,Tablet,Referral,2023-08-03
406,25,Australia,Desktop,Affiliate,2023-02-02
407,19,India,Tablet,Affiliate,2023-10-02
408,27,USA,Desktop,Organic,2023-05-04
409,40,Singapore,Tablet,Referral,2023-11-11
410,60,India,Mobile,Affiliate,2023-04-06
411,22,Germany,Tablet,Affiliate,2023-07-04
412,53,Thailand,Desktop,Referral,2023-09-17
413,58,UK,Desktop,Facebook Ads,2023-01-23
414,40,Australia,Mobile,Facebook Ads,2023-01-09
415,60,India,Mobile,Affiliate,2023-05-04
416,26,Thailand,Desktop,Affiliate,2023-06-20
417,59,Singapore,Tablet,Referral,2023-06-23
418,48,India,Mobile,Google Ads,2023-12-23
419,47,Thailand,Desktop,Google Ads,2023-02-02
420,30,Thailand,Desktop,Facebook Ads,2023-01-23
421,43,Australia,Tablet,Referral,2023-09-21
422,20,Australia,Tablet,Google Ads,2023-05-10
423,40,Australia,Mobile,Facebook Ads,2023-05-27
424,25,Australia,Desktop,Referral,2023-05-20
425,46,UK,Desktop,Google Ads,2023-07-24
426,49,USA,Tablet,Facebook Ads,2023-09-12
427,45,Thailand,Desktop,Affiliate,2023-02-12
428,52,USA,Desktop,Organic,2023-04-03
429,38,India,Desktop,Facebook Ads,2023-02-10
430,56,India,Desktop,Google Ads,2023-08-17
431,46,USA,Desktop,Organic,2023-12-20
432,57,UK,Desktop,Organic,2023-06-30
433,60,India,Desktop,Facebook Ads,2023-02-08
434,28,Thailand,Mobile,Affiliate,2023-09-20
435,46,Thailand,Mobile,Organic,2023-12-14
436,59,USA,Desktop,Referral,2023-05-01
437,20,Germany,Mobile,Referral,2023-10-18
438,41,UK,Mobile,Affiliate,2023-07-09
439,51,USA,Desktop,Facebook Ads,2023-03-12
440,35,Singapore,Mobile,Organic,2023-11-29
441,49,Germany,Desktop,Affiliate,2023-04-06
442,34,Australia,Desktop,Referral,2023-03-02
443,57,USA,Tablet,Referral,2023-04-20
444,25,Singapore,Mobile,Referral,2023-04-13
445,46,Thailand,Tablet,Facebook Ads,2023-03-30
446,40,India,Mobile,Affiliate,2023-12-08
447,36,USA,Mobile,Google Ads,2023-10-05
448,50,Singapore,Mobile,Google Ads,2023-07-05
449,33,Australia,Desktop,Organic,2023-03-13
450,53,Germany,Desktop,Referral,2023-07-04
451,26,Germany,Mobile,Organic,2023-10-10
452,43,India,Tablet,Referral,2023-06-08
453,44,Australia,Desktop,Affiliate,2023-09-27
454,26,USA,Tablet,Organic,2023-02-07
455,47,India,Tablet,Facebook Ads,2023-08-19
456,53,India,Tablet,Google Ads,2023-03-07
457,45,Germany,Mobile,Organic,2023-03-08
458,27,USA,Mobile,Google Ads,2023-09-23
459,32,USA,Tablet,Facebook Ads,2023-06-15
460,34,Singapore,Tablet,Affiliate,2023-02-10
461,26,India,Desktop,Affiliate,2023-05-21
462,23,Germany,Tablet,Google Ads,2023-10-01
463,55,Singapore,Mobile,Affiliate,2023-10-31
464,39,Australia,Tablet,Organic,2023-11-06
465,23,Thailand,Tablet,Affiliate,2023-01-15
466,59,Singapore,Tablet,Referral,2023-05-16
467,58,Thailand,Desktop,Affiliate,2023-11-13
468,59,USA,Desktop,Google Ads,2023-05-29
469,43,USA,Desktop,Organic,2023-12-17
470,21,Singapore,Desktop,Referral,2023-12-19
471,47,Singapore,Desktop,Affiliate,2023-09-05
472,38,Australia,Tablet,Facebook Ads,2023-03-15
473,43,Singapore,Desktop,Affiliate,2023-06-26
474,24,USA,Mobile,Referral,2023-10-15
475,35,UK,Mobile,Google Ads,2023-03-04
476,21,USA,Desktop,Affiliate,2023-02-19
477,33,Australia,Mobile,Facebook Ads,2023-08-03
478,38,Singapore,Mobile,Referral,2023-10-23
479,47,UK,Desktop,Referral,2023-09-21
480,23,UK,Tablet,Referral,2023-01-12
481,31,Germany,Desktop,Organic,2023-05-04
482,36,UK,Tablet,Referral,2023-01-26
483,52,Thailand,Mobile,Referral,2023-05-27
484,34,India,Desktop,Referral,2023-03-10
485,20,UK,Mobile,Affiliate,2023-07-07
486,30,USA,Tablet,Facebook Ads,2023-10-15
487,42,Germany,Desktop,Affiliate,2023-02-07
488,57,India,Tablet,Organic,2023-05-24
489,24,UK,Desktop,Facebook Ads,2023-03-07
490,41,Australia,Mobile,Google Ads,2023-10-13
491,50,UK,Tablet,Organic,2023-11-05
492,20,Singapore,Tablet,Facebook Ads,2023-01-24
493,51,UK,Mobile,Affiliate,2023-08-31
494,26,USA,Tablet,Facebook Ads,2023-09-21
495,43,Germany,Tablet,Facebook Ads,2023-03-25
496,39,Germany,Tablet,Affiliate,2023-10-31
497,54,USA,Desktop,Organic,2023-09-08
498,39,India,Mobile,Referral,2023-07-08
499,37,Australia,Tablet,Organic,2023-10-26
500,48,USA,Tablet,Affiliate,2023-11-02
501,32,India,Mobile,Affiliate,2023-10-23
502,28,Germany,Tablet,Affiliate,2023-09-03
503,27,Australia,Tablet,Google Ads,2023-07-14
504,54,India,Mobile,Google Ads,2023-01-17
505,46,USA,Desktop,Google Ads,2023-01-10
506,31,UK,Tablet,Affiliate,2023-07-31
507,21,India,Mobile,Affiliate,2023-08-30
508,53,USA,Tablet,Referral,2023-04-17
509,42,USA,Mobile,Referral,2023-09-27
510,39,Germany,Desktop,Facebook Ads,2023-09-30
511,48,Singapore,Mobile,Facebook Ads,2023-11-09
512,37,Singapore,Desktop,Facebook Ads,2023-10-13
513,31,India,Tablet,Referral,2023-12-27
514,48,USA,Tablet,Facebook Ads,2023-06-12
515,25,Germany,Tablet,Affiliate,2023-05-28
516,43,Australia,Desktop,Google Ads,2023-07-14
517,20,USA,Tablet,Organic,2023-05-29
518,46,India,Desktop,Referral,2023-06-27
519,30,Australia,Tablet,Facebook Ads,2023-04-20
520,35,Singapore,Mobile,Affiliate,2023-10-15
521,33,Singapore,Mobile,Affiliate,2023-10-28
522,58,Singapore,Mobile,Organic,2023-04-26
523,39,India,Desktop,Organic,2023-07-31
524,26,Thailand,Tablet,Google Ads,2023-12-15
525,59,UK,Desktop,Google Ads,2023-07-28
526,38,USA,Tablet,Organic,2023-05-28
527,59,Germany,Mobile,Affiliate,2023-02-15
528,29,UK,Mobile,Organic,2023-01-20
529,49,Singapore,Tablet,Facebook Ads,2023-07-23
530,18,USA,Tablet,Affiliate,2023-01-20
531,39,USA,Desktop,Affiliate,2023-02-24
532,49,Singapore,Tablet,Referral,2023-09-26
533,30,Australia,Mobile,Facebook Ads,2023-05-20
534,47,India,Desktop,Google Ads,2023-03-25
535,39,Australia,Desktop,Affiliate,2023-01-08
536,30,Singapore,Tablet,Referral,2023-12-12
537,50,USA,Mobile,Referral,2023-08-07
538,24,Singapore,Mobile,Referral,2023-12-09
539,33,Thailand,Desktop,Referral,2023-06-15
540,46,Australia,Desktop,Facebook Ads,2023-05-01
541,55,India,Tablet,Organic,2023-06-04
542,59,USA,Tablet,Google Ads,2023-05-14
543,60,Thailand,Desktop,Facebook Ads,2023-02-01
544,43,India,Tablet,Facebook Ads,2023-03-23
545,25,India,Desktop,Facebook Ads,2023-12-20
546,32,Singapore,Mobile,Referral,2023-11-11
547,47,India,Tablet,Facebook Ads,2023-03-20
548,53,UK,Tablet,Google Ads,2023-08-01
549,56,Australia,Mobile,Affiliate,2023-05-07
550,51,India,Desktop,Organic,2023-08-17
551,25,Thailand,Tablet,Affiliate,2023-10-16
